"subject","condition","pretty_condition","study","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","violations","browser","width","height","ROTATION","SHAPE"
"MTCEB","113","TRI-0","SGC4D","winter22","asynch","Other-Not Listed",21,"Spanish","Third","United States","I tried my best on most questions","2","4","2","","",9.49355,"1","chrome","1287","1087","0","TRI"
"Y5NMS","113","TRI-0","SGC4D","winter22","asynch","Female",19,"Korean","Second","USA","I tried my best on most questions","3","3","3","","",9.11136666666667,"1","chrome","1280","689","0","TRI"
"4660Y","113","TRI-0","SGC4D","winter22","asynch","Female",22,"English","Fourth","USA","I tried my best on each question","3","4","3","","",10.0346166666667,"1","chrome","1311","705","0","TRI"
"O7C4V","113","TRI-0","SGC4D","winter22","asynch","Female",22,"English","Fourth","USA","I tried my best on each question","4","2","2","","no",20.8619333333333,"2","chrome","1440","720","0","TRI"
"QAUVK","113","TRI-0","SGC4D","winter22","asynch","Male",18,"English","Fourth","United States","I tried my best on most questions","3","1","3","made me feel cross-eyed for a bit lol","n/a",10.8577166666667,"1","chrome","1440","789","0","TRI"
"4GNS9","113","TRI-0","SGC4D","winter22","asynch","Female",19,"X-Other","First","Vietnam","I tried my best on each question","3","4","4","The chart was a little bit confusing at first but it gets better as I got used to it.","Nope",11.72685,"2","chrome","1439","736","0","TRI"
"APZGR","113","TRI-0","SGC4D","winter22","asynch","Female",19,"English","Second","United States","I tried my best on most questions","4","4","2","The visualization was kind of hard to understand at first, especially because the label on the bottom stated that it was representative of times shifted started AND ended— at first I thought I was supposed to look for points on the graph to reveal when a shift ended instead of mentally calculating it using each point's duration and start time.","",13.5192333333333,"2","chrome","1440","689","0","TRI"
"304O6","113","TRI-0","SGC4D","winter22","asynch","Female",30,"English","Third","United States","I tried my best on each question","5","2","1","The grid of the time pyramid diagram caused severe eye strain and triggered a migraine.","eye sensitivity problem distinguishing fine lines.",35.9273666666667,"2","chrome","1536","714","0","TRI"
"PX101","113","TRI-0","SGC4D","winter22","asynch","Male",21,"English","Third","united states","I tried my best on each question","1","4","3","","no",6.48695,"1","chrome","1330","729","0","TRI"
"JJTSL","113","TRI-0","SGC4D","winter22","asynch","Female",20,"English","Third","usa","I tried my best on most questions","5","4","1","","no. average intelligence lol",26.2696,"1","chrome","1504","892","0","TRI"
"2WLTY","113","TRI-0","SGC4D","winter22","asynch","Female",19,"English","Second","United States","I tried my best on each question","5","1","5","","",9.5947,"2.5","chrome","1536","722","0","TRI"
"U839U","113","TRI-0","SGC4D","winter22","asynch","Female",19,"English","Second","United States","I tried my best on each question","3","2","3","","no",11.5474833333333,"1","chrome","1280","721","0","TRI"
"TPV5H","113","TRI-0","SGC4D","winter22","asynch","Female",20,"English","Second","USA","I tried my best on each question","5","3","1","I worked a retail job with a shift chart and if I ever had to deal with one like this I would've poked my eyes out every day.  ","No",15.8744,"1","chrome","1440","789","0","TRI"
"PBAU4","113","TRI-0","SGC4D","winter22","asynch","Female",24,"English","Third","USA","I tried my best on each question","3","4","3","I hope we get to know how many we got correct","no",14.0250333333333,"1","chrome","1718","885","0","TRI"
"YSO0M","113","TRI-0","SGC4D","winter22","asynch","Female",19,"X-Other","Second","Russia","I tried my best on each question","3","3","3","","No",17.5700166666667,"1","chrome","1280","800","0","TRI"
"59MBJ","113","TRI-0","SGC4D","winter22","asynch","Female",22,"English","Fifth","United States","I tried my best on each question","3","4","4","","",16.0821666666667,"1","chrome","1440","821","0","TRI"
"HJESG","113","TRI-0","SGC4D","winter22","asynch","Female",21,"English","Fourth","United States","I tried my best on most questions","3","3","3","","",9.31098333333333,"1","chrome","1440","789","0","TRI"
"DYKSV","113","TRI-0","SGC4D","winter22","asynch","Female",21,"English","Fourth","United States","I tried my best on each question","2","4","5","n/a","no",12.5490166666667,"1","chrome","1368","793","0","TRI"
"Y0KJD","113","TRI-0","SGC4D","winter22","asynch","Female",20,"English","Second","United States","I tried my best on most questions","3","3","4","Figuring out when each shift would end and have a break was a bit tedious. Otherwise, I thought the graph was a really creative way to organize shifts. ","No",14.6741833333333,"1","chrome","1439","740","0","TRI"
"OTNWU","113","TRI-0","SGC4D","winter22","asynch","Female",18,"English","First","USA","I tried my best on each question","3","3","3","","no",12.4263166666667,"1","chrome","1536","842","0","TRI"
